season,school_id,latitude,longitude
2012,587,40.4862157,-74.4518188
2013,587,40.4862157,-74.4518188
2014,587,40.4862157,-74.4518188
2015,587,40.4862157,-74.4518188
2016,587,40.4862157,-74.4518188
2017,587,40.4862157,-74.4518188
2009,587,40.4862157,-74.4518188
2012,30139,44.0805434,-103.2310149
2013,30139,44.0805434,-103.2310149
2014,30139,44.0805434,-103.2310149
2015,30139,44.0805434,-103.2310149
2016,30139,44.0805434,-103.2310149
2017,30139,44.0805434,-103.2310149
2010,1096,33.0801429,-83.2320991
2011,1096,33.0801429,-83.2320991
2012,1096,33.0801429,-83.2320991
2013,1096,33.0801429,-83.2320991
2014,1096,33.0801429,-83.2320991
2015,1096,33.0801429,-83.2320991
2016,1096,33.0801429,-83.2320991
2017,1096,33.0801429,-83.2320991
2009,1096,33.0801429,-83.2320991
2010,1395,32.2206958,-98.2022633
2011,1395,32.2206958,-98.2022633
2012,1395,32.2206958,-98.2022633
2013,1395,32.2206958,-98.2022633
2014,1395,32.2206958,-98.2022633
2015,1395,32.2206958,-98.2022633
2016,1395,32.2206958,-98.2022633
2017,1395,32.2206958,-98.2022633
2009,1395,32.2206958,-98.2022633
2010,798,44.0247062,-88.5426136
2011,798,44.0247062,-88.5426136
2012,798,44.0247062,-88.5426136
2013,798,44.0247062,-88.5426136
2014,798,44.0247062,-88.5426136
2015,798,44.0247062,-88.5426136
2016,798,44.0247062,-88.5426136
2017,798,44.0247062,-88.5426136
2009,798,44.0247062,-88.5426136
2010,98,37.6688205,-122.0807964
2011,98,37.6688205,-122.0807964
2012,98,37.6688205,-122.0807964
2013,98,37.6688205,-122.0807964
2014,98,37.6688205,-122.0807964
2015,98,37.6688205,-122.0807964
2016,98,37.6688205,-122.0807964
2017,98,37.6688205,-122.0807964
2009,98,37.6688205,-122.0807964
2010,1029,38.9778882,-77.0074765
2011,1029,38.9778882,-77.0074765
2012,1029,38.9778882,-77.0074765
2013,1029,38.9778882,-77.0074765
2009,1029,38.9778882,-77.0074765
2010,621,42.51954,-70.8967155
2011,621,42.51954,-70.8967155
2012,621,42.51954,-70.8967155
2013,621,42.51954,-70.8967155
2014,621,42.51954,-70.8967155
2015,621,42.51954,-70.8967155
2016,621,42.51954,-70.8967155
2017,621,42.51954,-70.8967155
2009,621,42.51954,-70.8967155
2010,650,42.7794417,-96.9292104
2011,650,42.7794417,-96.9292104
2012,650,42.7794417,-96.9292104
2013,650,42.7794417,-96.9292104
2014,650,42.7794417,-96.9292104
2015,650,42.7794417,-96.9292104
2016,650,42.7794417,-96.9292104
2017,650,42.7794417,-96.9292104
2009,650,42.7794417,-96.9292104
2010,2759,38.5458246,-106.9253207
2011,2759,38.5458246,-106.9253207
2012,2759,38.5458246,-106.9253207
2013,2759,38.5458246,-106.9253207
2014,2759,38.5458246,-106.9253207
2015,2759,38.5458246,-106.9253207
2016,2759,38.5458246,-106.9253207
2017,2759,38.5458246,-106.9253207
2009,2759,38.5458246,-106.9253207
2010,454,36.6103334,-88.314761
2011,454,36.6103334,-88.314761
2012,454,36.6103334,-88.314761
2013,454,36.6103334,-88.314761
2014,454,36.6103334,-88.314761
2015,454,36.6103334,-88.314761
2016,454,36.6103334,-88.314761
2017,454,36.6103334,-88.314761
2009,454,36.6103334,-88.314761
2010,24639,26.1224386,-80.1373174
2011,24639,26.1224386,-80.1373174
2012,24639,26.1224386,-80.1373174
2013,24639,26.1224386,-80.1373174
2014,24639,26.1224386,-80.1373174
2015,24639,26.1224386,-80.1373174
2016,24639,26.1224386,-80.1373174
2017,24639,26.1224386,-80.1373174
2009,24639,26.1224386,-80.1373174
2010,2691,42.7653662,-71.467566
2011,2691,42.7653662,-71.467566
2012,2691,42.7653662,-71.467566
2013,2691,42.7653662,-71.467566
2014,2691,42.7653662,-71.467566
2015,2691,42.7653662,-71.467566
2016,2691,42.7653662,-71.467566
2017,2691,42.7653662,-71.467566
2010,18422,42.7653662,-71.467566
2011,18422,42.7653662,-71.467566
2012,18422,42.7653662,-71.467566
2013,18422,42.7653662,-71.467566
2014,18422,42.7653662,-71.467566
2015,18422,42.7653662,-71.467566
2016,18422,42.7653662,-71.467566
2017,18422,42.7653662,-71.467566
2009,2691,42.7653662,-71.467566
2009,18422,42.7653662,-71.467566
2016,16,40.3356483,-75.9268747
2017,16,40.3356483,-75.9268747
2009,16,40.3356483,-75.9268747
2010,16,40.3356483,-75.9268747
2011,16,40.3356483,-75.9268747
2012,16,40.3356483,-75.9268747
2013,16,40.3356483,-75.9268747
2014,16,40.3356483,-75.9268747
2015,16,40.3356483,-75.9268747
2010,938,40.3356483,-75.9268747
2011,938,40.3356483,-75.9268747
2012,938,40.3356483,-75.9268747
2013,938,40.3356483,-75.9268747
2014,938,40.3356483,-75.9268747
2015,938,40.3356483,-75.9268747
2016,938,40.3356483,-75.9268747
2017,938,40.3356483,-75.9268747
2010,30044,40.3356483,-75.9268747
2011,30044,40.3356483,-75.9268747
2012,30044,40.3356483,-75.9268747
2013,30044,40.3356483,-75.9268747
2014,30044,40.3356483,-75.9268747
2015,30044,40.3356483,-75.9268747
2016,30044,40.3356483,-75.9268747
2017,30044,40.3356483,-75.9268747
2009,938,40.3356483,-75.9268747
2009,30044,40.3356483,-75.9268747
2010,282,42.8679836,-76.985557
2011,282,42.8679836,-76.985557
2012,282,42.8679836,-76.985557
2013,282,42.8679836,-76.985557
2014,282,42.8679836,-76.985557
2015,282,42.8679836,-76.985557
2016,282,42.8679836,-76.985557
2017,282,42.8679836,-76.985557
2009,282,42.8679836,-76.985557
2010,643,41.0639506,-80.0564468
2011,643,41.0639506,-80.0564468
2012,643,41.0639506,-80.0564468
2013,643,41.0639506,-80.0564468
2014,643,41.0639506,-80.0564468
2015,643,41.0639506,-80.0564468
2016,643,41.0639506,-80.0564468
2017,643,41.0639506,-80.0564468
2009,643,41.0639506,-80.0564468
2010,1468,41.5034271,-74.0104178
2011,1468,41.5034271,-74.0104178
2012,1468,41.5034271,-74.0104178
2013,1468,41.5034271,-74.0104178
2014,1468,41.5034271,-74.0104178
2015,1468,41.5034271,-74.0104178
2016,1468,41.5034271,-74.0104178
2017,1468,41.5034271,-74.0104178
2009,1468,41.5034271,-74.0104178
2010,213,42.0897965,-76.8077338
2011,213,42.0897965,-76.8077338
2012,213,42.0897965,-76.8077338
2013,213,42.0897965,-76.8077338
2014,213,42.0897965,-76.8077338
2015,213,42.0897965,-76.8077338
2016,213,42.0897965,-76.8077338
2017,213,42.0897965,-76.8077338
2009,213,42.0897965,-76.8077338
2010,260,47.6587802,-117.4260465
2011,260,47.6587802,-117.4260465
2012,260,47.6587802,-117.4260465
2013,260,47.6587802,-117.4260465
2014,260,47.6587802,-117.4260465
2015,260,47.6587802,-117.4260465
2016,260,47.6587802,-117.4260465
2017,260,47.6587802,-117.4260465
2010,1454,47.6587802,-117.4260465
2011,1454,47.6587802,-117.4260465
2012,1454,47.6587802,-117.4260465
2013,1454,47.6587802,-117.4260465
2014,1454,47.6587802,-117.4260465
2015,1454,47.6587802,-117.4260465
2016,1454,47.6587802,-117.4260465
2017,1454,47.6587802,-117.4260465
2009,260,47.6587802,-117.4260465
2009,1454,47.6587802,-117.4260465
2010,1448,48.7519112,-122.4786854
2011,1448,48.7519112,-122.4786854
2012,1448,48.7519112,-122.4786854
2013,1448,48.7519112,-122.4786854
