game_date,school_id,opp_id,tourn
1987-03-14,43.0,556.0,1
1987-03-14,327.0,465.0,1
1987-03-14,110.0,811.0,1
1987-03-15,176.0,603.0,1
1987-03-15,235.0,559.0,1
1987-03-15,251.0,518.0,1
1987-03-15,312.0,704.0,1
1987-03-15,328.0,669.0,1
1987-03-15,365.0,690.0,1
1987-03-15,522.0,545.0,1
1987-03-15,688.0,772.0,1
1987-03-19,251.0,328.0,1
1987-03-19,457.0,513.0,1
1987-03-19,8.0,556.0,1
1987-03-19,235.0,688.0,1
1987-03-20,193.0,306.0,1
1987-03-20,312.0,522.0,1
1987-03-20,176.0,365.0,1
1987-03-20,465.0,811.0,1
1987-03-21,251.0,556.0,1
1987-03-21,457.0,688.0,1
1987-03-22,306.0,365.0,1
1987-03-22,312.0,465.0,1
1987-03-28,306.0,465.0,1
1987-03-28,556.0,688.0,1
1987-03-30,306.0,688.0,1
1988-03-17,37.0,72.0,1
1988-03-17,77.0,458.0,1
1988-03-17,176.0,782.0,1
1988-03-17,68.0,193.0,1
1988-03-17,235.0,603.0,1
1988-03-17,327.0,340.0,1
1988-03-17,367.0,528.0,1
1988-03-17,370.0,811.0,1
1988-03-17,51.0,404.0,1
1988-03-17,66.0,418.0,1
1988-03-17,457.0,497.0,1
1988-03-17,522.0,693.0,1
1988-03-17,222.0,559.0,1
1988-03-17,434.0,572.0,1
1988-03-17,513.0,663.0,1
1988-03-17,488.0,688.0,1
1988-03-18,29.0,167.0,1
1988-03-18,251.0,365.0,1
1988-03-18,255.0,311.0,1
1988-03-18,301.0,706.0,1
1988-03-18,234.0,312.0,1
1988-03-18,328.0,812.0,1
1988-03-18,334.0,665.0,1
1988-03-18,104.0,392.0,1
1988-03-18,454.0,490.0,1
1988-03-18,204.0,545.0,1
1988-03-18,306.0,575.0,1
1988-03-18,635.0,704.0,1
1988-03-18,352.0,690.0,1
1988-03-18,465.0,669.0,1
1988-03-18,731.0,736.0,1
1988-03-18,31.0,739.0,1
1988-03-19,193.0,663.0,1
1988-03-19,176.0,327.0,1
1988-03-19,77.0,367.0,1
1988-03-19,235.0,418.0,1
