school_id,season_href,school_name,season,division
371,/team/371/10080,Loyola Chicago,2009,1
369,/team/369/10080,Loyola Maryland,2009,1
370,/team/370/10080,Loyola Marymount,2009,1
380,/team/380/10080,Maine,2009,1
381,/team/381/10080,Manhattan,2009,1
386,/team/386/10080,Marist,2009,1
387,/team/387/10080,Marquette,2009,1
388,/team/388/10080,Marshall,2009,1
392,/team/392/10080,Maryland,2009,1
400,/team/400/10080,Massachusetts,2009,1
402,/team/402/10080,McNeese,2009,1
404,/team/404/10080,Memphis,2009,1
406,/team/406/10080,Mercer,2009,1
415,/team/415/10080,Miami (FL),2009,1
414,/team/414/10080,Miami (OH),2009,1
418,/team/418/10080,Michigan,2009,1
416,/team/416/10080,Michigan St.,2009,1
419,/team/419/10080,Middle Tenn.,2009,1
797,/team/797/10080,Milwaukee,2009,1
428,/team/428/10080,Minnesota,2009,1
430,/team/430/10080,Mississippi St.,2009,1
432,/team/432/10080,Mississippi Val.,2009,1
434,/team/434/10080,Missouri,2009,1
669,/team/669/10080,Missouri St.,2009,1
439,/team/439/10080,Monmouth,2009,1
441,/team/441/10080,Montana,2009,1
440,/team/440/10080,Montana St.,2009,1
444,/team/444/10080,Morehead St.,2009,1
446,/team/446/10080,Morgan St.,2009,1
450,/team/450/10080,Mt. St. Mary's,2009,1
454,/team/454/10080,Murray St.,2009,1
488,/team/488/10080,N.C. A&T,2009,1
489,/team/489/10080,N.C. Central,2009,1
490,/team/490/10080,NC State,2009,1
471,/team/471/10080,NJIT,2009,1
726,/team/726/10080,Navy,2009,1
463,/team/463/10080,Nebraska,2009,1
466,/team/466/10080,Nevada,2009,1
469,/team/469/10080,New Hampshire,2009,1
473,/team/473/10080,New Mexico,2009,1
472,/team/472/10080,New Mexico St.,2009,1
474,/team/474/10080,New Orleans,2009,1
482,/team/482/10080,Niagara,2009,1
483,/team/483/10080,Nicholls St.,2009,1
485,/team/485/10080,Norfolk St.,2009,1
457,/team/457/10080,North Carolina,2009,1
493,/team/493/10080,North Dakota St.,2009,1
2711,/team/2711/10080,North Florida,2009,1
497,/team/497/10080,North Texas,2009,1
500,/team/500/10080,Northeastern,2009,1
501,/team/501/10080,Northern Ariz.,2009,1
502,/team/502/10080,Northern Colo.,2009,1
503,/team/503/10080,Northern Ill.,2009,1
509,/team/509/10080,Northwestern,2009,1
508,/team/508/10080,Northwestern St.,2009,1
513,/team/513/10080,Notre Dame,2009,1
514,/team/514/10080,Oakland,2009,1
519,/team/519/10080,Ohio,2009,1
518,/team/518/10080,Ohio St.,2009,1
522,/team/522/10080,Oklahoma,2009,1
521,/team/521/10080,Oklahoma St.,2009,1
