arena,latitude,longitude
Stevenson Athletic Center,42.023639,-73.9089545
Kresge Gymnasium,42.2446334,-84.7461651
Newman Arena,42.4458085,-76.4764139
Paavo Nurmi Center,47.128583,-88.5881066
Emerson Gymnasium,41.9680101,-71.1851943
GSU Sports Arena,33.7516267,-84.3864553
Kuch Center,40.0919287,-75.1656602
Kerr Fitness & Sports Center,40.5691309,-80.01166
de Hoernle Center,26.3845609,-80.125528
Sports & Fitness Center,44.1661411,-93.9892778
Joseph West Jones Center,39.7415725,-75.6895335
Stannard Gym,44.5334524,-72.0251318
Richard F. Scharf Alumni Fieldhouse,40.9235411,-87.1574968
Haynes-Prim Pavilion,37.4560638,-122.1920741
Don Haskins Center,31.777715,-106.505605
Pauley Pavilion,34.0703581,-118.4469123
Piano Row Gymnasium,42.3521413,-71.0664369
Leflore County Civic Center,33.5194509,-90.1505028
The Convocation Center,33.5747994,-81.7738826
Multipurpose Center and Teaching Gym,30.4242136,-84.2905532
The Hunter Sportsplex,40.76874,-73.9661278
Gold Dome,32.4809291,-93.7299013
Walker Arena,35.1661398,-84.869666
Mariotti Gymnasium,33.0384447,-85.0433441
Charles L. Sewall Center,40.5202269,-80.2147835
Kennedy Sports & Recreation Center,40.5009244,-78.015436
Rex Pyles Arena,39.1571906,-80.0512952
MSU Dome,48.2480896,-101.3005693
Todd Wehr Edgedome,43.060689,-89.423378
Times Union Center,42.6485901,-73.7549371
Ellis T. Johnson Arena,38.1888804,-83.4311778
Grove Gymnasium,35.0730768,-92.4686291
Maurice Stokes Athletics Center,40.5045063,-78.6411149
Branch Rickey Arena,40.2949217,-83.0664069
West Quad Center Gymnasium,40.6309965,-73.954328
DeSimone Gymnasium,42.6476245,-87.8549878
Greyhound Arena,34.1803781,-103.3513286
Cannon Activities Center,21.6412355,-157.923146
Dale F. Halton Arena,35.306403,-80.7344525
Stauffer Wolfe Arena,41.0106522,-85.7590721
Ross Sports Center,44.4941573,-73.1683366
Robertson Center,45.0339201,-93.1679563
Alumni Gym,36.1032571,-79.5054235
Albert Gersten Pavilion,33.967663,-118.4156096
McLeod Center,42.5143658,-92.4672647
Mayborn Campus Center,31.0685507,-97.4663663
Glenbrook,43.6072739,-73.183042
Kern Center Arena,43.0466558,-87.9089499
McMillan Multipurpose Ctr,34.7778028,-89.4457644
De Vos Fieldhouse,42.7887273,-86.0954824
The Pitt,38.9859708,-77.0005571
College Arena,41.1558824,-80.0784502
Burr Gymnasium,38.9263793,-77.022094
Recreation and Convocation Center,30.2297903,-97.7576194
Exactech Arena at the Stephen C. O'Connell Center,29.6494769,-82.3511181
Montgomery Fieldhouse,43.5612431,-116.5666261
Neal Blaisdell Center,21.2999389,-157.850842
Baldwin Gym,40.7603633,-74.4289843
Skibo Gymnasium,40.4407429,-79.9413357
Ervin J. Nutter Center,39.782096,-84.052137
Kolf Sports Center,44.0243314,-88.5522143
Lumberjack Arena,40.8750254,-124.0748226
Maher Athletic Center,32.8462187,-96.9216682
Harris Court,34.9033015,-79.443311
Owensboro Sportscenter,37.7626977,-87.1262181
Solheim Arena,32.465893,-94.7264594
Flowers Hall,34.8084699,-87.6837689
Ted Grant Court,43.0497018,-76.0855042
ICI Center,29.1912551,-81.0467428
Pete Hanna Center,33.4638283,-86.7971667
Rockwell Cage,42.3591856,-71.0960187
Horst Athletic Center,40.0755069,-76.2890927
Harvey Hubbell Gym,41.1640453,-73.188094
Memorial Hall Gymnasium,44.6931359,-73.4649169
Trojan Arena,31.8022455,-85.9523887
Sanford Coyote Sports Center,42.7903588,-96.927792
Winfield Dunn Center,36.5363093,-87.3566819
Knight Sports Arena,37.7414909,-79.350063
Oman Arena,35.6268865,-88.8145704
R.L. Vaughan Center,36.2823635,-76.2158637
John Lance Arena,37.3914668,-94.6947717
Romano Gymnasium,46.82001,-92.08208
B. Frank Turner Arena,36.5780595,-83.6645057
Berry Events Center,46.5576886,-87.3926416
Ferguson Recreation Center,40.7774826,-74.435133
Pioneer Gym,37.6572425,-122.060793
HTC Center,33.7980888,-79.0155722
Henry J. Goodman Arena,41.499205,-81.676497
Kerr Activities Center,34.7717797,-96.662058
Leggett & Platt A.C.,37.0938853,-94.4602639
R/A Facility,44.4540077,-95.76183
SRC Arena,33.9782498,-117.3279454
Stoller Center,45.5249025,-123.1102509
Sojka Pavilion,40.9568332,-76.8868827
DuFour Center,38.9424172,-76.9993099
EagleBank Arena,38.8260709,-77.3089352
Rush Gymnasium,34.126683,-118.2138276
Hamilton Field House,35.6601208,-97.4715323
O.C. Lewis Gym,40.114659,-85.659923
War Memorial at the Sobrato Center,37.7768745,-122.4495105
Yarnall Athletic Center,41.328199,-72.0988727
Baxter Arena,41.236186,-96.012948
T. Edward Davis Gym,39.288908,-80.571055
SNHU Fieldhouse,43.0407729,-71.4531836
R.A. Faganel Hall,41.8992691,-87.946134
A.C. Jordan Arena,39.0210287,-76.7586466
Packer Hall,40.2686213,-74.777584
Alterowitz Gymnasium,45.7973975,-108.5178669
Fitzgerald Gymnasium,40.7381681,-73.8195239
Vines Center,37.348916,-79.1810641
Kneller Athletic Center,42.252198,-71.823871
Memorial Fieldhouse,47.2588931,-122.4816525
Eagles Nest,34.0106531,-118.3198223
Bryce Jordan Center,40.8086724,-77.8555678
Halenbeck Hall,45.5480155,-94.1523907
Thomas Fieldhouse,41.1427097,-77.4628472
Madison Square Garden,40.7505045,-73.9934387
Birthright Alumni Hall,33.200526,-87.5852409
Glennie Gymnasium,40.9135265,-90.6386297
Athletics & Recreation Cn,42.1306661,-80.0892967
Stroh Center,41.375459,-83.626208
Donald L. Tucker Center,30.4377823,-84.2866581
Lee Arena,39.0333113,-95.7017075
Alexander Gym,35.771146,-81.330342
Wieden Gym,46.691075,-68.032182
Gill P.E. Learning Center,39.5829905,-77.0037192
Mason Activity Center,40.1669399,-74.9065362
Magness Arena,39.6821385,-104.9619325
Regis University Fieldhouse,39.7893676,-105.0298065
Mountaineer Athletic Center,42.8677544,-73.2185286
Pucillo Gymnasium,39.9995034,-76.3479543
Mayser Center,40.047869,-76.3185476
Titan Gym,33.883022,-117.8858875
Schuckman Court,39.8208853,-84.913052
UDC Gym,38.9459312,-77.0648185
Derek Smith Gymnasium,38.2432157,-85.7592594
Super Pit,33.2086227,-97.1540986
The Matadome,34.2419495,-118.5259044
Aquinas Hall,41.0422627,-73.9358903
Rankin Williams Fieldhouse,35.5345715,-98.7095116
Elmore Health Science Building,34.7846326,-86.572031
Burton Coliseum,30.1369557,-93.2113961
McComb Fieldhouse,41.8735715,-80.1195186
McKeon Pavilion,37.8412834,-122.1064498
Thornton Gymnasium,41.7547989,-88.3505033
Behnken Field House,40.7315104,-111.8551883
CFE Arena,28.607225,-81.1973669
Afook-Chinen Civic Auditorium,19.7180707,-155.0694545
McArthur Center,27.715886,-82.68816
Johnston Hall,40.6304565,-75.3844871
Bill Wall Gymnasium,39.731828,-90.223117
Butcher Athletic Center,39.436642,-77.8093584
Luther Student Center,44.3046749,-94.4733777
March F. Riddle Center,35.1341933,-78.8710665
The Cage Center,34.2875809,-85.1863411
CenturyLink Center Omaha,41.2624236,-95.9282394
Walter Sillers Coliseum,33.7489881,-90.7341992
Tiger Arena,32.0237904,-81.0658947
The Golden Dome,40.7395937,-74.1743626
Breslin Events Center,42.7283325,-84.4923695
Jerry Richardson Indoor Stadium,34.9634256,-81.9336288
Moray L. Eby Fieldhouse,41.9889493,-91.659901
Papas Gynasium,42.3162952,-71.1292881
Art Acker Gym,39.729899,-121.8497673
Memorial Auditorium,46.8628042,-96.7700579
Williams Gym,36.1564132,-81.8707817
Bristol Gym,42.8570634,-76.9928982
Special Events Center,36.72609,-119.7325743
Capital Union Building,40.202092,-76.7416048
Dreamstyle Arena (The Pit),35.0670344,-106.6322619
Lawlor Events Center,39.5450902,-119.8182998
UCM Multipurpose Building,38.7573354,-93.7440436
Shuford Memorial Gym,35.741036,-81.3284223
KFC Yum! Center,38.2577834,-85.7538323
GVSU Fieldhouse Arena,42.9669142,-85.8898043
Hummel Field House,40.2044971,-80.5655562
Holt Fieldhouse,36.1215905,-83.4899055
George A. Christenberry Fieldhouse,33.4719883,-82.0593027
Aggie Gymnasium,34.6028436,-98.4336823
Philips Gymnasium,41.2978567,-82.2230422
Viniar Sports Center,42.8186863,-73.9241333
Carver Arena,40.691985,-89.5942589
Rapides Coliseum,31.2966298,-92.5036433
Higgins Court,42.348327,-71.2498014
Pepsi Arena,39.9405616,-91.3855142
Percefull Fieldhouse,36.7956735,-98.6676822
Bob Martinez Athletics Center,27.9470469,-82.469158
Peter Jay Sharp Center,40.9135213,-73.9061549
Hunter College Sportsplex,40.76874,-73.9661278
Alma McDonough Center,40.074193,-80.689385
Nicoson Hall,39.7088663,-86.1319113
Knox-Windham Gym/Fair Park Arena,33.4947227,-86.8741364
GCU Arena,33.5102029,-112.128912
Marcus Pavilion,47.0382122,-122.8173481
Robins Center,37.5807848,-77.5388335
Silvio O. Conte Forum,42.3350945,-71.1676364
Toyota Center,29.7507604,-95.3621005
Griswold Gymnasium,39.8435943,-88.9734405
Matthew Knight Arena,44.0449193,-123.0663109
Quealy Gymnasium,40.6869154,-73.6254975
UTRGV Fieldhouse,26.3067326,-98.1698007
Tansey Gymnasium,42.3352812,-71.0950943
Plachy Hall,37.4760876,-105.8810125
The Palestra,39.9513911,-75.1887032
Hytche Athletic Center,38.2102166,-75.6848002
Vining Arena,34.1289381,-93.053317
UWF Field House,30.5455649,-87.2209951
Meyer Sports Center,37.6026708,-93.4111969
Massari Arena,38.3094449,-104.5756539
Goldstein Athletics Center,41.1295275,-73.8097412
A.J. Palumbo Center,40.4373509,-79.9878928
The Swamp,37.7801157,-122.4777
Kehl Center,42.4980879,-90.6870639
Anderson Athletic Center,42.2900637,-85.5983467
BankUnited Center,25.7153067,-80.2793919
Health and Physical Education Complex,32.5329433,-83.8978028
Kuyper Gymnasium,41.4036877,-92.9264911
Snyder Arena,40.8387836,-96.6475961
Felix Event Center,34.1350678,-117.8952594
Storm Dome,32.0572061,-84.2164345
Batten Center,36.8684184,-76.1859527
O'Reilly Family Event Center,37.2183433,-93.2847316
Mabee Gym,35.4758935,-93.4662875
Events Center,42.0934421,-75.9719572
Multipurpose Activity Center,40.279307,-74.0077835
Lockridge Arena,39.7491202,-105.2227753
Darby Gym,41.7490571,-92.7201302
Dearborn Gymnasium,44.6687463,-70.1479095
Arena-Auditorium,41.313341,-105.5694365
Hutton Sports Center,33.7936633,-117.8517479
Bank of Colorado Arena,40.4022171,-104.7030436
Page Arena,44.8526697,-92.6206021
Cosgrove Marcus Messer Center,41.3317524,-72.9243171
Lee E. Williams Athletics and Assembly Center,32.2997878,-90.2119454
Duke Wells Center,34.1308101,-93.0591234
Hermann Student Center,35.7896241,-78.6380119
YHC Basketball Arena,34.932492,-83.84682
John J. Lee Ampitheater,41.3139597,-72.9305569
Gregory Arena,41.7757597,-88.14332
Pitt Bradford Sport & Fitness Center,41.9440303,-78.6729991
E.A. Diddle Arena,36.9863238,-86.4576141
H.J. Long Gymnasium,38.8932575,-89.4079079
Stegeman Coliseum,33.9425366,-83.3780926
McBrayer Arena,37.7373512,-84.3012724
Smith University Center,34.1885949,-79.6539216
Gentry Center Complex,36.1690985,-86.8291415
Jean Yawkey Center,42.3403687,-71.1016439
Regan Gymnasium,42.361052,-71.0640858
Kline Center,40.2031665,-77.2021724
Hutton Arena,44.9670069,-93.166557
McAlister Field House,32.7985855,-79.9623637
Amsler Campus Center Gym,42.691554,-73.1033372
Frank Erwin Center,30.2769698,-97.7321651
Crenshaw Gymnasium,37.7629854,-77.4786146
Trask Coliseum,34.2249981,-77.8783141
Cassell Coliseum,37.2226899,-80.4190748
Murphy Gymnasium,41.4830967,-81.7066379
Quandt Fieldhouse,44.528965,-89.5703145
Barco-Stevens Hall,37.5625916,-77.4514696
Nat Holman Gymnasium,40.8200471,-73.9492724
Athletics-Recreation Center,41.4642298,-87.0483582
Max Ziel Gymnasium,43.4462942,-76.535533
Cave Arena - Johnny Mize Athletic Center,34.5609002,-83.5445784
W.S. Tippin Gymnasium,41.2078434,-79.3805823
Merillat Center,41.897677,-84.0641256
Moloney Arena,38.6456624,-90.5047854
Donald N. Dedmon Center,37.138475,-80.5415574
Stephen Feldman Arena,41.4007198,-73.4449401
Lamade Gymnasium,41.2441845,-76.9999047
The Hill Center,40.690854,-73.969712
Saint Mary's Fieldhouse,44.0447762,-91.6959211
Wells Fargo Arena,33.4245048,-111.9310057
Sam Vadalabene Center,38.7958638,-90.0001457
West Gymnasium,44.4629024,-93.1568681
William M. Anderson Center,38.3073145,-77.4785753
BB&T Arena,39.0319881,-84.4592753
Arnaud Marts Sports Center,41.2423283,-75.8905257
Pizzitola Sports Center,41.8316983,-71.3980885
Wheeler Sports Center/Miller Gym,45.305395,-122.966237
Decker Gymnasium,41.8069803,-77.0698186
Brubaker Auditorium,40.1582572,-76.9894963
The Wheeler Center,35.2608199,-81.0393941
Adrian Tinsley Center,41.9888416,-70.9615529
Morrell Gymnasium,43.9086708,-69.9601658
Eastern University Gymnasium,40.0516866,-75.3707195
Value City Arena,40.00766,-83.0250631
Dunkin' Donuts Center,41.8236281,-71.4179556
Lahue Center,42.2720172,-71.0107326
Carver PE Center,41.5066327,-90.550847
E.W. Bennett Sports Center,43.6278146,-84.2741314
Rice Auditorium,42.2426999,-97.0145104
Harry M. Statham Sports Center,38.6084161,-89.8144344
Jadwin Gymnasium,40.3434557,-74.6486685
John W. Stewart Center for Student Activities,42.8911782,-75.6412775
Reid Arena,38.846594,-104.824394
Calihan Hall,42.4143679,-83.1360608
Esby Gym,39.7106054,-75.1185985
Mertz Mortorelli Gymnasium,46.717658,-92.0878849
Yoder Arena,38.4726203,-78.8773972
Whitworth Fieldhouse,47.7548728,-117.4178623
Island Federal Credit Union Arena,40.9174122,-73.12595
Lawrence Joel Veterans Memorial Coliseum,36.1277077,-80.2574934
Gillmor Center,41.119541,-83.1849893
Pioneer Arena,36.1721925,-82.7612522
Vagge Gymnasium,42.7380942,-71.4523567
Wild Athletic Center,44.901342,-93.739708
Ornelas Gymnasium,32.5569179,-94.3764522
Hammermill Center,42.1283957,-80.0861959
Speidel Gymnasium,42.0965327,-76.815607
MacDonald Gymnasium,42.5559432,-70.8877319
Tysinger Gymnasium,34.7282212,-82.7603351
Lewis and Clark College,45.4517422,-122.6688633
Ocean Bank Convocation Center,25.7569257,-80.3795409
Chiles Center,45.5750973,-122.7285261
Tripp Athletic Center,41.6238628,-71.0065889
Bresnan Arena In Taylor Center,44.1456562,-93.9956514
Daskalakis Athletic Center,39.9563762,-75.1907406
Harold Alfond Forum,43.4532443,-70.38998
Student Center Gymnasium,42.2379538,-71.116521
Maggs Center,38.345073,-75.6046968
UIC Pavilion,41.8748558,-87.6561411
Insalaco Arena,41.4334254,-75.6372362
Finnegan Fieldhouse,40.3775227,-80.6210706
"Bo Ryan Court, Williams Fieldhouse",42.7316948,-90.4882129
Millett Hall,39.5167527,-84.7345863
Fugate Gymnasium,37.673508,-97.377744
Staake Gymnasium,42.2993708,-71.2659951
Heiges Field House,40.0628918,-77.5240644
Mullins Center,42.389382,-72.5334464
Sharp Gymnasium,29.6949025,-95.5167353
Wildcat Center,41.7892043,-71.3913429
Adams Center/Dahlberg Arena,46.8635552,-113.983347
Student Center Complex,36.585376,-82.15938
Paul Porter Arena,35.2465436,-81.6695574
Athletics and Wellness Center,41.7163857,-81.2513355
McDonnell Center,38.9341327,-79.8438547
Edmunds Center,29.0395387,-81.3018584
Fifth Third Arena,39.1311671,-84.5142013
Kohl Center,43.069396,-89.39672
Goodman Gym,35.6913701,-80.4824479
Mount Ida College Athletic Center,42.294262,-71.193448
Kornegay Arena,35.2062336,-78.0713442
Currier Gym,34.0587479,-117.2080915
Chandler Gymnasium,42.7099567,-73.2028219
Horsburgh Gymnasium (Veale Center),41.5008908,-81.6066313
"James R. Wilkins, Jr. Athletics & Events Center",39.1640527,-78.1536932
Drake Knapp Center,41.6046804,-93.6521616
