season_href,opp_id,game_href
/team/12399/11540,290.0,/game/index/2699193
/team/12399/11540,292.0,/game/index/2722484
/team/12399/11540,453.0,/game/index/2755713
/team/12399/11540,30044.0,/game/index/2749913
/team/12399/11540,211.0,/game/index/2766142
/team/12399/11540,1305.0,/game/index/2796952
/team/12399/11540,88.0,/game/index/2799633
/team/12399/11540,1254.0,/game/index/2803800
/team/12399/11540,1305.0,/game/index/2813154
/team/12399/11540,321.0,/game/index/2839361
/team/12399/11540,20794.0,/game/index/2830353
/team/12399/11540,,/game/index/2852633
/team/12399/11540,,/game/index/2850761
/team/12399/11540,958.0,/game/index/2859914
/team/12399/11540,15882.0,/game/index/2872913
/team/12399/11540,30047.0,/game/index/2879233
/team/12399/11540,12884.0,/game/index/2885234
/team/12399/11540,397.0,/game/index/2894714
/team/12399/11540,958.0,/game/index/2919303
/team/12399/11540,88.0,/game/index/2932613
/team/12399/11540,397.0,/game/index/2942492
/team/12399/11540,30047.0,/game/index/2966092
/team/12399/11540,303.0,/game/index/2989253
/team/12399/11540,15882.0,/game/index/3002056
/team/12399/11540,1254.0,/game/index/3021914
/team/12399/11540,12884.0,/game/index/3050713
/team/12399/11540,303.0,/game/index/3055796
/team/12399/11540,1254.0,/game/index/3104138
/team/117/11540,1402,/game/index/2735985
/team/117/11540,806,/game/index/2813473
/team/117/11540,520,/game/index/2786337
/team/117/11540,8567,/game/index/2807275
/team/117/11540,278,/game/index/2807293
/team/117/11540,46,/game/index/2809607
/team/117/11540,182,/game/index/2819453
/team/117/11540,320,/game/index/2820616
/team/117/11540,396,/game/index/2828001
/team/117/11540,21830,/game/index/2828012
/team/117/11540,1461,/game/index/2856537
/team/117/11540,531,/game/index/2868836
/team/117/11540,455,/game/index/2884879
/team/117/11540,517,/game/index/2895842
/team/117/11540,452,/game/index/2903973
/team/117/11540,385,/game/index/2907894
/team/117/11540,46,/game/index/2930615
/team/117/11540,278,/game/index/2933057
/team/117/11540,452,/game/index/2970493
/team/117/11540,1461,/game/index/2966156
/team/117/11540,320,/game/index/2974442
/team/117/11540,385,/game/index/3006873
/team/117/11540,531,/game/index/3020335
/team/117/11540,455,/game/index/3055436
/team/117/11540,517,/game/index/3078616
/team/117/11540,46,/game/index/3098343
/team/683/12020,158,/game/index/3507004
/team/683/12020,257,/game/index/3512850
/team/683/12020,283,/game/index/3516726
/team/683/12020,724,/game/index/3519213
/team/683/12020,772,/game/index/3524704
/team/683/12020,361,/game/index/3531297
/team/683/12020,1348,/game/index/3538041
/team/683/12020,140,/game/index/3554324
/team/683/12020,554,/game/index/3567633
/team/683/12020,556,/game/index/3596405
/team/683/12020,116,/game/index/3610345
/team/683/12020,369,/game/index/3618344
/team/683/12020,23,/game/index/3722505
/team/683/12020,756,/game/index/3626665
/team/683/12020,469,/game/index/3640025
/team/683/12020,158,/game/index/3651855
/team/683/12020,738,/game/index/3667068
/team/683/12020,391,/game/index/3677299
/team/683/12020,380,/game/index/3689784
/team/683/12020,14,/game/index/3693850
/team/683/12020,368,/game/index/3702116
/team/683/12020,62,/game/index/3713344
/team/683/12020,272,/game/index/3722524
/team/683/12020,469,/game/index/3730788
/team/683/12020,738,/game/index/3757424
/team/683/12020,391,/game/index/3778086
/team/683/12020,380,/game/index/3787756
/team/683/12020,14,/game/index/3791528
/team/683/12020,62,/game/index/3795658
/team/683/12020,368,/game/index/3798671
/team/683/12020,272,/game/index/3801273
/team/683/12020,62,/game/index/3804436
/team/683/12020,738,/game/index/3808625
/team/683/12020,14,/game/index/3815403
/team/683/12020,406,/game/index/3820639
/team/700/10740,716,/game/index/568350
/team/700/10740,497,/game/index/568370
/team/700/10740,676,/game/index/568450
/team/700/10740,305,/game/index/560374
/team/700/10740,176,/game/index/561191
/team/700/10740,749,/game/index/566734
/team/700/10740,26172,/game/index/589610
/team/700/10740,698,/game/index/596192
/team/700/10740,261,/game/index/622571
/team/700/10740,527,/game/index/632710
/team/700/10740,94,/game/index/634390
/team/700/10740,655,/game/index/638750
/team/700/10740,521,/game/index/650271
/team/700/10740,51,/game/index/659112
/team/700/10740,328,/game/index/670891
/team/700/10740,697,/game/index/678585
/team/700/10740,522,/game/index/688433
/team/700/10740,311,/game/index/699591
/team/700/10740,327,/game/index/709630
/team/700/10740,434,/game/index/713953
/team/700/10740,521,/game/index/722690
/team/700/10740,703,/game/index/730257
/team/700/10740,327,/game/index/734183
/team/700/10740,522,/game/index/741390
/team/700/10740,697,/game/index/749945
/team/700/10740,328,/game/index/758510
/team/700/10740,311,/game/index/774911
/team/700/10740,703,/game/index/783880
/team/700/10740,51,/game/index/794590
/team/700/10740,434,/game/index/825073
/team/700/10740,521,/game/index/858670
/team/111/12480,551,/game/index/4234698
/team/111/12480,465,/game/index/4237258
/team/111/12480,30147,/game/index/4257137
/team/111/12480,732,/game/index/4244890
/team/111/12480,110,/game/index/4248815
/team/111/12480,631,/game/index/4257480
/team/111/12480,441,/game/index/4260009
/team/111/12480,502,/game/index/4260989
/team/111/12480,183,/game/index/4261730
/team/111/12480,30024,/game/index/4262237
/team/111/12480,1104,/game/index/4263702
/team/111/12480,101,/game/index/4265245
/team/111/12480,99,/game/index/4267010
/team/111/12480,108,/game/index/4269272
