season,school_id,jersey,player_id,player_name,pos,height,class
2017,2,4,1744196.0,"Crnic, Jovan",G,6-5,Sr
2017,2,15,1744197.0,"Farquhar, Hayden",F,6-7,So
2017,2,0,1744194.0,"Franklin, Jaylen",G,6-2,So
2017,2,21,1847908.0,"Friday, Jalone",C,6-9,Fr
2017,2,11,1625911.0,"Green, Drake",G,6-3,Jr
2017,2,23,1744198.0,"Howell, Hayden",F,6-7,So
2017,2,34,1847910.0,"Kohl, Kolton",C,7-0,Fr
2017,2,3,1847905.0,"Langston, Diamante",G,6-2,Jr
2017,2,14,1847907.0,"Lenox, Trey",G,6-3,Fr
2017,2,1,1744195.0,"Lewis, Jaren",F,6-6,So
2017,2,42,,"Martin, Jerod",G,6-1,Fr
2017,2,2,1847904.0,"Maxwell, B.J.",G,6-5,Fr
2017,2,22,1847909.0,"Reynolds, Jadon",G,6-1,Fr
2017,2,5,1847906.0,"Ricks, Payten",G,6-2,Fr
2017,2,10,1625908.0,"Tripp, Isaiah",G,6-1,Jr
2017,3,2,,"Akkepenek, Umut",G,6-5,Jr
2017,3,5,1847354.0,"Barnes, Daveyon",G,6-5,Fr
2017,3,0,1847351.0,"Beech, Austin",G,6-5,Fr
2017,3,23,1746334.0,"Cambio, Nick",F,6-7,So
2017,3,30,1624199.0,"Coffey, Michael",G,6-1,Jr
2017,3,24,1508865.0,"Ferguson, John",G,6-4,Sr
2017,3,1,1746335.0,"Ginyard, Tavon",F,5-10,So
2017,3,25,1624201.0,"John, Christopher",G,5-11,Sr
2017,3,11,1746336.0,"Kelman-Poto, Dom",F,6-7,So
2017,3,15,1746337.0,"Laffey, Jack",G,6-5,So
2017,3,3,1856451.0,"Martins, Kevin",G,6-0,Jr
2017,3,10,1746338.0,"McGuinness, Conor",G,5-9,So
2017,3,14,1847355.0,"Millender, Chris",F,6-7,Sr
2017,3,4,,"Papacostas, Costa",G,6-5,Fr
2017,3,21,1856452.0,"Rosenbloom, Maxx",F,6-7,Fr
2017,3,20,1746339.0,"Singh, Satwinder",F,5-9,Jr
2017,3,44,1746340.0,"Suarez, Manny",C,6-10,Jr
2017,4,1,1857033,"Aaron, Daton",G,5-7,Jr
2017,4,14,1857034,"Bell, Chris",G,6-0,Fr
