season,school_id,jersey,player_id,player_name,pos,height,class
2014,2,10,1518581,"Blakeley, Chris",G,6-0,Fr
2014,2,12,1508488,"Cooke, Austin",F,6-7,So
2014,2,5,1508486,"Edmonson, Julian",G,6-1,Jr
2014,2,2,1508484,"Farley, Rafael",G,6-5,Jr
2014,2,4,1734743,"Grant, Michael",G,6-5,Fr
2014,2,11,1508487,"Hawkins, Harrison",G,6-0,Jr
2014,2,33,1508491,"Lancaster, Jacob",F,6-10,Jr
2014,2,14,1508489,"Milosavljevic, Alexsander",F,6-9,Jr
2014,2,0,1398871,"Payne, Riley",F,6-5,So
2014,2,21,1508490,"Pegues, James",F,6-6,So
2014,2,3,1398860,"Wentz, Parker",G,5-9,So
2014,2,1,1508483,"Williams, Ladarrien",G,5-10,Jr
2014,3,3,1508857,"Citron, Matthew",F,6-7,So
2014,3,12,1508861,"Coleman, Damon",G,5-9,Fr
2014,3,5,1508859,"Davis, Greg",G,6-5,Fr
2014,3,21,1400536,"DeNicola, Ryan",C,6-7,So
2014,3,24,1508865,"Ferguson, John",G,6-4,Fr
2014,3,23,1508864,"Fodouop, Boris",F,6-6,Jr
2014,3,2,1508856,"Hamlet, Ethan",G,6-1,Fr
2014,3,22,1508863,"Janel, Daniel",F,6-7,Fr
2014,3,10,1400532,"Libroia, Anthony",G,5-10,So
2014,3,4,1508858,"McLeggan, Kyle",G,6-1,Fr
2014,3,15,1292126,"Morgan, Duane",F,6-6,Jr
2014,3,11,1508860,"Schulkin, Jeremy",G,6-4,So
2014,3,44,1292127,"Sullivan, Edward",G,6-0,Jr
2014,4,99,1525811,"Bush, Brian",,-,N/A
2014,4,44,1529256,"Dennison, Spencer",,-,N/A
2014,4,11,1425906,"Gaston-Rashid, Ameer",G,5-9,So
2014,4,10,1190842,"Gordon, Curtis",G,5-11,Jr
2014,4,25,1519539,"Hamilton, Kevin",F,6-3,Fr
2014,4,34,1294065,"Hohman, Brad",F,6-5,Jr
2014,4,5,1413728,"Jackson, Rickey",F,6-3,So
2014,4,21,1427755,"Jones, Treston",C,6-0,Fr
2014,4,32,1294064,"Lewis, Eric",G,6-2,Jr
2014,4,3,1519534,"Price, Daniel",G,5-7,So
2014,4,3,1079576,"Reed, Wesley",,-,N/A
2014,4,1,1519533,"Robertson, Eli",G,6-1,So
2014,4,2,1413726,"Rodak, Ben",G,6-4,So
2014,4,24,1294060,"Small, Mitchell",G,5-10,Jr
2014,4,33,1525796,"Southwell, Braxton",,-,N/A
2014,4,21,1529255,"Stegall, Dominique",,-,N/A
2014,4,15,1519536,"Swift, Earl",G,6-3,Fr
2014,4,20,1519537,"Tait, Darrius",F,6-4,Fr
2014,4,4,1184771,"Torey, Drew",G,5-8,Sr
2014,4,23,1529258,"Tucker, Chris",,-,N/A
2014,4,25,1525297,"Way, Eric",,6-4,N/A
2014,5,12,1400931.0,"Betancourt, Carmelo",G,5-11,So
2014,5,2,1511819.0,"Cheatham, Jr., Kwan",F,6-9,Fr
2014,5,13,1177611.0,"Diggs, Quincy",F,6-6,Sr
2014,5,3,1511821.0,"Evans, Nyles",G,5-11,Jr
2014,5,34,1400932.0,"Forsythe, Pat",C,6-11,So
2014,5,5,1511822.0,"Gladden, B.J.",F,6-6,Fr
2014,5,10,1280775.0,"Harney, Nick",F,6-8,Sr
2014,5,14,1519871.0,"Hill, Jr., Ricardo",G,5-8,Fr
2014,5,30,1408770.0,"Hoisten, Darius",G,6-5,So
2014,5,4,1280774.0,"Ibitayo, Deji",G,6-4,Jr
2014,5,11,1511824.0,"Jackson, Aaron",G,6-6,Fr
2014,5,23,1511823.0,"Johnson, Isaiah",C,6-10,Fr
2014,5,15,1400933.0,"Kretzer, Jake",F,6-7,So
2014,5,21,1400934.0,"McAdams, Reggie",F,6-7,So
2014,5,20,1539704.0,"Noble, Mark",,6-2,N/A
2014,5,1,1280773.0,"Treadwell, Demetrius",F,6-7,Sr
2014,5,22,,"Wheeler, Kyle",F,6-5,Fr
2014,6,0,1176499.0,"Banks, Justin",C,7-0,Sr
2014,6,41,1519017.0,"Battle, Rakia",G,5-10,Fr
2014,6,11,1413081.0,"Capers, Arthur",F,6-5,Sr
2014,6,4,1413077.0,"Colvin, Justin",G,6-3,So
2014,6,24,1519016.0,"Cotton, Matthew",G,5-10,Fr
2014,6,10,1176492.0,"Crutcher, Jeremy",G,5-8,Sr
2014,6,22,1413080.0,"Davis, Tyler",G,6-2,So
2014,6,42,,"Edwards, Isaiah",F,6-2,Fr
2014,6,40,1176493.0,"Ellis, Brandon",G,6-3,Sr
2014,6,12,1296672.0,"Hill, Green",G,5-10,Sr
2014,6,33,1414158.0,"Houston, Baryn",F,6-7,So
2014,6,55,1176498.0,"Hunter, Jerome",F,-,N/A
2014,6,52,1302807.0,"Lanier, Anthony",C,6-6,Jr
2014,6,20,1176495.0,"Long, Jose",F,6-5,Sr
2014,6,30,1176501.0,"Tabb, Demarquelle",,-,N/A
2014,6,35,1413079.0,"West, Nicholas",F,6-10,So
2014,6,45,1519019.0,"Williams, Xavier",F,6-8,Fr
2014,7,14,1407862,"Armstrong, Tony",F,6-6,So
2014,7,5,1407859,"Brown, Bobby",F,6-7,So
2014,7,15,1511968,"Burroughs, Sean",F,6-7,Fr
2014,7,11,1511953,"Davis, Nick",G,6-5,Fr
2014,7,13,1554388,"Davis, Princeton",,-,N/A
2014,7,4,1511946,"Graham, Brandon",F,6-7,Jr
2014,7,20,1737689,"Ingram, Billy",G,6-6,So
2014,7,34,1528521,"Jacob, Tony",,6-9,N/A
2014,7,30,1511989,"LeFlore, Terrance",G,6-1,Fr
2014,7,0,1407857,"Neal, Devonte'",C,6-10,So
2014,7,45,1511995,"Ojeah, Robert",C,6-9,Jr
2014,7,2,1293586,"Page, Luther",F,6-6,Jr
2014,7,3,1511945,"Robinson, Demarcus",G,5-10,Jr
2014,7,25,1511988,"Scott, Darius",F,6-5,So
2014,7,24,1739342,"Sizemore, Darrius",G,6-4,Fr
2014,7,21,1735716,"Stewart, Deangelo",G,6-5,Fr
2014,7,22,1511974,"Strong, Maurice",F,6-5,Jr
2014,7,12,1407860,"Waters, Jamel",G,5-9,So
2014,8,21,1288601,"Cooper, Rodney",G,6-6,Jr
2014,8,4,1179783,"Engstrom, Carl",C,7-1,Jr
2014,8,11,1509290,"Hale, Shannon",F,6-8,Fr
2014,8,15,1288599,"Jacobs, Nick",F,6-8,Jr
