season,school_id,jersey,player_id,player_name,pos,height,class
2015,2,20,1625910.0,"Albright, Christian",F,6-7,Fr
2015,2,30,1518581.0,"Blakeley, Chris",G,6-0,So
2015,2,12,1508488.0,"Cooke, Austin",F,6-7,Jr
2015,2,4,1734743.0,"Grant, Michael",G,6-5,So
2015,2,22,1625911.0,"Green, Drake",G,6-3,Fr
2015,2,42,1625913.0,"Hanson, David",G,6-0,Jr
2015,2,11,1508487.0,"Hawkins, Harrison",G,6-0,Sr
2015,2,5,1625907.0,"Little, Jalen",G,5-10,Jr
2015,2,2,1625906.0,"Maura, K.J.",G,5-7,Fr
2015,2,14,1508489.0,"Milosavljevic, Alexsander",F,6-9,Sr
2015,2,0,1398871.0,"Payne, Riley",F,6-5,Jr
2015,2,33,1625912.0,"Porter, Duran",F,6-8,Jr
2015,2,15,,"Simmons, Skyler",G,6-2,Fr
2015,2,10,1625908.0,"Tripp, Isaiah",G,6-1,Fr
2015,2,3,1398860.0,"Wentz, Parker",G,5-9,Jr
2015,2,1,1508483.0,"Williams, Ladarrien",G,5-10,Sr
2015,3,11,1624198,"Bennett, Tyler",G,6-1,So
2015,3,3,1508857,"Citron, Matthew",F,6-7,Jr
2015,3,30,1624199,"Coffey, Michael",G,6-1,Fr
2015,3,0,1508861,"Coleman, Damon",G,5-9,So
2015,3,5,1508859,"Davis, Greg",G,6-5,So
2015,3,21,1400536,"DeNicola, Ryan",C,6-7,Jr
2015,3,24,1508865,"Ferguson, John",G,6-4,So
2015,3,23,1508864,"Fodouop, Boris",F,6-6,Sr
2015,3,12,1624200,"Jenkins, Justin",G,6-1,Jr
2015,3,25,1624201,"John, Christopher",G,5-11,So
2015,3,10,1400532,"Libroia, Anthony",G,5-10,Jr
2015,3,4,1508858,"McLeggan, Kyle",G,6-1,So
2015,3,15,1292126,"Morgan, Duane",F,6-6,Sr
2015,3,2,1631235,"Ryals, Lylle",G,6-5,So
2015,3,44,1292127,"Sullivan, Edward",G,6-0,Sr
2015,4,33,1629482,"Barden, Kameron",G,6-2,Fr
2015,4,4,1640165,"Denham, Jordan",,6-0,N/A
2015,4,2,1529256,"Dennison, Spencer",,-,N/A
2015,4,10,1190842,"Gordon, Curtis",G,5-11,Sr
2015,4,32,1629481,"Harp, R'Mand",G,6-0,Jr
2015,4,30,1650979,"Harris, Da'Quon",,-,N/A
2015,4,3,1636898,"Hayden, Charles",,-,N/A
2015,4,4,1629475,"Henry, Ken",F,6-3,Fr
2015,4,3,1639787,"Horton, Anton",,6-3,N/A
2015,4,5,1413728,"Jackson, Rickey",F,6-3,Jr
2015,4,50,1427755,"Jones, Treston",G,6-0,So
2015,4,14,1629478,"Lesniak, Joey",G,6-4,Fr
2015,4,30,1294064,"Lewis, Eric",G,6-2,Jr
2015,4,1,1519533,"Robertson, Eli",G,6-1,Jr
2015,4,35,1413726,"Rodak, Ben",F,6-4,Jr
2015,4,20,1629479,"Roy, Gregory",F,6-3,Fr
2015,4,11,1629476,"Stadtfeld, Devon",G,6-0,Fr
2015,4,2,1519536,"Swift, Earl",G,6-3,So
2015,4,15,1519537,"Tait, Darrius",F,6-4,So
2015,4,25,1525297,"Way, Eric",F,6-4,So
2015,4,3,1629474,"Webster, Jamison",G,6-0,Sr
2015,4,13,1629477,"Webster, Justin",F,6-5,So
2015,4,24,1629480,"Wood, Riley",F,6-4,Fr
2015,5,2,1511819,"Cheatham, Jr., Kwan",F,6-9,So
2015,5,3,1511821,"Evans, Nyles",G,5-11,Sr
2015,5,34,1400932,"Forsythe, Pat",C,6-11,Jr
